"C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","T01","T02","T03","T04","T05","T06","T07","T08","T09","T10"
"RPL30",31,88479,2,7,2,18,2,26,96228,1,38,50873,0,6,2,8,3,11,58,2
"VPS13B",6,32210,2,6,1,4,2,0,0,4,0,1,0,0,0,0,0,0,0,0
"RNF19A",6,1125,1,0,0,0,2,8,29,0,2,0,0,0,0,0,0,0,0,0
"PABPC1",0,18097,2,2,2,2,2,0,4,4,0,9,0,0,0,0,0,7019,18,8
"YWHAZ",1,11801,2,4530,2,5,16,2,44966,0,1,8,0,1,0,24,0,1,0,2
"NACA4P",0,307,1,4,27,27018,1,1,3563,0,0,0,0,0,285,0,0,347,0,1
"EIF3H",3,5547,33,43819,4,4,10,0,0,0,16,4291,2,17,47551,2,2,0,0,0
"CCDC171",2,6,1,2,11,35703,2,6,0,0,0,0,14,0,2,0,3,0,2,1
"RPS6",11,42018,3,6,0,9,3,0,19,0,16,20,0,57,2,0,0,40,0,0
"RMRP",11,29109,75346,9225,3,9,3,5,13195,1,4,2,1,18,47821,0,0,5,0,0
"LOC105376081",88622,2,2,4,2,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"PALM2AKAP2",2,15074,0,2,0,1,4,5,3,8,0,0,0,0,0,4,0,23,59369,1
"RPL7A",13252,10028,0,3,0,97,1,1,11026,0,22,58951,3,19,34314,21,0,30129,291,1
"LOC124902538",3,1,20,1,22,34302,0,2,0,45,0,0,0,39,0,0,0,0,0,0
"NEBL",0,4,63,179720,5,9,10,12,0,0,0,0,0,0,0,15,0,0,0,0
"CCDC7",5,21467,0,0,0,2,1,12,29,21,0,0,11,3,0,26,0,2314,152848,6
"LOC105378415",8,22101,2,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCGF5",233675,605,7,6,15,6,5,0,2,4,2,4892,0,5,0,2052,0,29001,1,0
"RPL13AP5",12,20800,52895,13,6,1314,2,0,13,8,15,75,0,4,0,0,0,15,0,0
"RPLP2",8,28993,32,22531,1,10,1,0,0,0,10,9643,2,1,9256,1,0,0,38,0
"KCNQ1OT1",8,7,1,5,0,12,0,3,10,51,2,3,26,33,4,89690,3,81,100,24489
"HBB",67,178116,9,23,3,27,108,59,76,3,1,1108,29,196,69283,304,0,200,49882,1
"HBG1",13,28110,1,3,0,7,7,2,18,17,0,0,0,0,1,2,0,113344,3,1
"HBG2",12,33584,0,7,0,5,9,2,7,11,0,0,0,0,1,4,0,86719,8,2
"EIF3F",6,1761,0,0,2,11,0,0,15,0,4,0,0,0,0,0,0,0,4,0
"RPL27A",5,26953,3,14804,0,6,2,0,7,8,10,43493,1,15,16109,9,4,4,1870,0
"RPS13",15,45234,29,99662,2,5,6,0,0,9,26,30840,2,7,8599,11,0,24847,1,1
"FNBP4",13,27092,1,4,0,5,5,0,0,4,0,0,0,0,0,0,0,2,0,0
"AHNAK",12,24700,1,4,2,1,2,0,2,0,4,12,1,30,23566,0,3,3,0,4
"EEF1G",1,5373,1,1,0,10,130,0,23,10,6,10574,33,14,2529,0,0,10763,1,0
"MALAT1",17,10696,8,2,28,110872,1,0,0,0,4,19,0,0,4,0,0,0,103,0
